dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
506,REVIEW,review_threshold,СПК Латте СМОРОДИНА РОЗМАРИН,латте смородина розмарин,92,4.3,4.5,8.5,400,True,2025500,78036742,"Латте, 400мл",100,0.0,0,1.000,False,1839203,78035811,"Латте Смородина Розмарин, 400мл",1.000,1407299,78031250,"Латте, 400мл",0.838
507,REVIEW,review_threshold,СПК Латте спелая вишня,латте спелая вишня,92,4.3,4.5,8.5,400,True,2025500,78036742,"Латте, 400мл",100,0.0,0,1.000,False,1838832,78035821,"Латте спелая вишня, 400мл",1.000,1407299,78031250,"Латте, 400мл",0.838
510,REVIEW,review_threshold,СПК Раф соленая карам.орех.кок.нап.,раф соленая карам орех кок нап,52.7,1.5,2.2,6.7,200,True,1847294,78035832,"Раф соленая карамель с орехами с кокосовым напитком, 200мл",76,0.0,0,0.856,False,2024569,78035836,"Раф соленая карамель с орехами с овсяным напитком, 200мл",0.724,1838834,78035830,"Раф Соленая Карамель с орехами, 200мл",0.687
511,REVIEW,review_threshold,СПК Раф соленая карам.орех.кок.нап.,раф соленая карам орех кок нап,21.1,0.6,0.8,2.7,400,True,1840727,78035833,"Раф соленая карамель с орехами с кокосовым напитком, 400мл",76,0.0,0,0.856,False,1847294,78035832,"Раф соленая карамель с орехами с кокосовым напитком, 200мл",0.612,2024569,78035836,"Раф соленая карамель с орехами с овсяным напитком, 200мл",0.539
512,REVIEW,review_threshold,СПК Раф соленая карам.орех.мин.нап.,раф соленая карам орех мин нап,48.8,1.9,1.5,7,200,True,1840509,78035834,"Раф солёная карамель с орехами с миндальным напитком, 200мл",75,0.0,0,0.850,False,1853709,78035835,"Раф соленая карамель с орехами с миндальным напитком, 400мл",0.850,1847294,78035832,"Раф соленая карамель с орехами с кокосовым напитком, 200мл",0.761
513,REVIEW,review_threshold,СПК Раф соленая карам.орех.мин.нап.,раф соленая карам орех мин нап,49,1.9,1.5,7,400,True,1853709,78035835,"Раф соленая карамель с орехами с миндальным напитком, 400мл",75,0.0,0,0.850,False,1840509,78035834,"Раф солёная карамель с орехами с миндальным напитком, 200мл",0.850,1847294,78035832,"Раф соленая карамель с орехами с кокосовым напитком, 200мл",0.761
514,REVIEW,review_threshold,СПК Раф соленая карамель ор.ов.нап.,раф соленая карамель ор ов нап,73,1.7,2.8,10.5,200,True,2024569,78035836,"Раф соленая карамель с орехами с овсяным напитком, 200мл",80,0.0,0,0.880,False,2125274,78037600,"Раф соленая карамель с орехами XL, 550мл",0.811,1847294,78035832,"Раф соленая карамель с орехами с кокосовым напитком, 200мл",0.783
515,REVIEW,review_threshold,СПК Раф соленая карамель ор.ов.нап.,раф соленая карамель ор ов нап,73,1.7,2.8,10.4,400,True,2024569,78035836,"Раф соленая карамель с орехами с овсяным напитком, 200мл",80,0.2,200,0.879,False,2125274,78037600,"Раф соленая карамель с орехами XL, 550мл",0.810,1847294,78035832,"Раф соленая карамель с орехами с кокосовым напитком, 200мл",0.783
516,REVIEW,review_threshold,СПК Раф соленая карам.ор.соев.нап.,раф соленая карам ор соев нап,70,4,3,6.5,200,True,1852652,78035839,"Раф соленая карамель с орехами с соевым напитком, 400мл",77,0.0,200,0.864,False,1841507,78035838,"Раф соленая карамель с орехами с соевым напитком, 200мл",0.864,1838834,78035830,"Раф Соленая Карамель с орехами, 200мл",0.732
517,REVIEW,review_threshold,СПК Раф соленая карам.ор.соев.нап.,раф соленая карам ор соев нап,70,4,3,6.5,400,True,1852652,78035839,"Раф соленая карамель с орехами с соевым напитком, 400мл",77,0.0,0,0.864,False,1841507,78035838,"Раф соленая карамель с орехами с соевым напитком, 200мл",0.864,1838834,78035830,"Раф Соленая Карамель с орехами, 200мл",0.732
519,REVIEW,review_threshold,СПК Фильтр-кофе,фильтр кофе,134.9,1.8,1.9,2,200,True,2107354,78036190,Фильтр-кофе 400мл,100,0.0,200,1.000,True,2065350,78036189,Фильтр-кофе 200мл,1.000,1609306,78034880,"Кофе Латте, 200мл",0.610
524,REVIEW,review_threshold,СПК Кафе Какао на соевом напитке,кафе какао на соевом напитке,71,1.9,1.1,13.5,400,True,2019104,78036193,"Какао на соевом напитке, 200мл",100,0.0,200,1.000,True,1846274,78036194,"Какао на соевом напитке, 400мл",1.000,1846291,78036191,"Какао, 200мл",0.841
525,REVIEW,review_threshold,СПК Кафе Какао на овсяном напитке,кафе какао на овсяном напитке,74,1.7,1.8,12.8,200,True,2009258,78036196,"Какао на овсяном напитке, 400мл",100,0.0,200,1.000,True,1852472,78036195,"Какао на овсяном напитке, 200мл",1.000,1846291,78036191,"Какао, 200мл",0.862
527,REVIEW,review_threshold,СПК Кафе Какао на миндальном нап.,кафе какао на миндальном нап,56.5,1.2,1.5,9.5,200,True,2012573,78036198,"Какао на миндальном напитке, 400мл",84,0.0,200,0.902,True,1847440,78036197,"Какао на миндальном напитке, 200мл",0.902,1846291,78036191,"Какао, 200мл",0.819
528,REVIEW,review_threshold,СПК Кафе Какао на миндальном нап.,кафе какао на миндальном нап,56.5,1.2,1.5,9.5,400,True,2012573,78036198,"Какао на миндальном напитке, 400мл",84,0.0,0,0.902,True,1847440,78036197,"Какао на миндальном напитке, 200мл",0.902,1846291,78036191,"Какао, 200мл",0.819
530,REVIEW,review_threshold,СПК Кафе Какао на кокосовом напитке,кафе какао на кокосовом напитке,63.5,2.2,1.7,9.9,400,True,2042583,78036199,"Какао на кокосовом напитке, 200мл",100,0.0,200,1.000,True,1848317,78036200,"Какао на кокосовом напитке, 400мл",1.000,1846291,78036191,"Какао, 200мл",0.862
532,REVIEW,review_threshold,СПК Латте ПРЯНАЯ МАТЧА,латте пряная матча,35.8,0.1,1.5,5.7,200,True,2037714,78036406,"Матча латте пряная с кокосовым напитком, 400мл",100,1.3,200,0.995,True,2047840,78036408,"Матча латте пряная с миндальным напитком, 400мл",0.862,2031594,78036407,"Матча латте пряная с миндальным напитком, 200мл",0.862
534,REVIEW,review_threshold,СПК Матча латте пряная с кокос.нап.,матча латте пряная с кокос нап,35.8,0.1,1.5,5.4,200,True,2013818,78036404,"Латте Пряная матча, 400 мл",100,0.0,200,1.000,True,2013817,78036403,"Латте Пряная матча, 200мл",0.995,2025500,78036742,"Латте, 400мл",0.738
535,REVIEW,review_threshold,СПК Матча латте пряная с кокос.нап.,матча латте пряная с кокос нап,35.8,0.1,1.5,5.4,400,True,2013818,78036404,"Латте Пряная матча, 400 мл",100,0.0,0,1.000,False,2013817,78036403,"Латте Пряная матча, 200мл",0.995,2025500,78036742,"Латте, 400мл",0.738
536,REVIEW,review_threshold,СПК Матча латте пряная с минд.нап.,матча латте пряная с минд нап,31.8,0.5,0.8,5.7,200,True,2013817,78036403,"Латте Пряная матча, 200мл",100,34.5,0,0.862,False,2013818,78036404,"Латте Пряная матча, 400 мл",0.857,1800452,78035069,"Матча Латте, 400мл",0.764
537,REVIEW,review_threshold,СПК Матча латте пряная с минд.нап.,матча латте пряная с минд нап,31.8,0.5,0.8,5.7,400,True,2013817,78036403,"Латте Пряная матча, 200мл",100,34.5,200,0.862,False,2013818,78036404,"Латте Пряная матча, 400 мл",0.857,1800452,78035069,"Матча Латте, 400мл",0.764
538,REVIEW,review_threshold,СПК Матча латте пряная с овсян.нап.,матча латте пряная с овсян нап,56.1,0.3,2.1,9.1,200,True,1800452,78035069,"Матча Латте, 400мл",100,38.0,200,0.848,False,1621413,78035068,"Матча Латте, 200мл",0.848,2013817,78036403,"Латте Пряная матча, 200мл",0.831
539,REVIEW,review_threshold,СПК Матча латте пряная с овсян.нап.,матча латте пряная с овсян нап,56.1,0.3,2.1,9.1,400,True,1800452,78035069,"Матча Латте, 400мл",100,38.0,0,0.848,False,1621413,78035068,"Матча Латте, 200мл",0.848,2013817,78036403,"Латте Пряная матча, 200мл",0.831
540,REVIEW,review_threshold,СПК Матча латте пряная с соев.нап.,матча латте пряная с соев нап,31.8,0.5,0.8,5.7,200,True,2013817,78036403,"Латте Пряная матча, 200мл",100,34.5,0,0.862,False,2013818,78036404,"Латте Пряная матча, 400 мл",0.857,1800452,78035069,"Матча Латте, 400мл",0.764
